params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,total_running_time
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 500}",,,650,2.4343804359436034,0.009877934254220544,0.0,0.0,2.4343804359436034
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 60, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 100}",0.9686805445203666,0.0053567866275972984,11,4.7562782764434814,0.09648257711797138,0.22042641639709473,0.10691885343136776,4.976704692840576
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 60, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 300}",0.9663763970549286,0.007071750559409533,185,10.329002571105956,1.085624497989254,0.2068608283996582,0.07486274987737478,10.535863399505615
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 60, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 500}",0.9668382859261613,0.009611250826422673,121,14.99848976135254,1.0997860874535685,0.27405834197998047,0.04886427884853921,15.27254810333252
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 60, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 100}",0.9640764871020711,0.009710121037291778,423,5.646004009246826,0.858584076188096,0.15076761245727538,0.06197178417271408,5.796771621704101
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 60, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 300}",0.9686837226548016,0.009258533711210545,8,9.948667049407959,0.6687734503278828,0.28033838272094724,0.08743318528248799,10.229005432128906
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 60, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 500}",0.9672980560411037,0.008784132331632727,94,15.263943672180176,1.0582282718425975,0.2523815631866455,0.052396063856266516,15.516325235366821
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 60, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 100}",0.9659155675618412,0.008160248539919064,231,5.70321249961853,0.348183121322183,0.11774582862854004,0.044460911736924,5.8209583282470705
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 60, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 300}",0.964994967953811,0.008783640560290651,329,10.027520942687989,0.5679915429387736,0.23254470825195311,0.07655973846620875,10.260065650939943
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 60, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 500}",0.9677588855341913,0.0082341575463839,55,15.00325665473938,0.3582523833649005,0.2925286769866943,0.09356150235235228,15.295785331726075
